"uke","Adressa nett","Adressa mobil","BT nett","BT mobil","adrtotal","bttotal"
201501,138481,99812,143268,104357,238293,247625
201502,144231,97273,182415,113357,241504,295772
201503,147648,102286,166580,109011,249934,275591
201504,128989,84659,171131,112038,213648,283169
201505,135302,91233,174412,111441,226535,285853
201506,138250,91134,161282,99572,229384,260854
201507,137777,87461,164065,103471,225238,267536
201508,130957,85171,162604,105766,216128,268370
201509,142580,100441,157649,102411,243021,260060
201510,142165,104986,171905,119099,247151,291004
201511,129216,88228,154767,106844,217444,261611
201512,128482,85478,173041,125949,213960,298990
201513,132110,88379,158048,116435,220489,274483
201514,104617,102548,132123,101912,207165,234035
201515,139701,100846,159465,116920,240547,276385
201516,137638,98658,163527,133948,236296,297475
201517,129375,89796,156908,107116,219171,264024
201518,128152,94523,157690,120796,222675,278486
201519,125652,90401,160182,114290,216053,274472
201520,126530,92008,162072,124023,218538,286095
201521,131223,96573,178131,129727,227796,307858
201522,138913,107239,179196,128303,246152,307499
201523,131328,93129,161850,106263,224457,268113
201524,133560,119159,148858,117374,252719,266232
201525,127048,104952,146403,111666,232000,258069
201526,127002,114596,131382,96768,241598,228150
201527,109145,89193,133626,117763,198338,251389
201528,113911,93576,123934,114693,207487,238627
201529,111300,106573,117430,98445,217873,215875
201530,99682,90311,115245,100639,189993,215884
201531,114227,102665,128083,106674,216892,234757
201532,132332,107280,124050,98125,239612,222175
201533,121899,101622,138277,108075,223521,246352
201534,124297,102807,139483,112207,227104,251690
201535,132080,108116,148930,119359,240196,268289
201536,129458,107599,158853,130626,237057,289479
201537,127883,100139,139990,108529,228022,248519
201538,137794,121491,156330,117429,259285,273759
201539,132946,114071,141434,114428,247017,255862
201540,142651,122037,134848,104372,264688,239220
201541,128987,116973,124899,96655,245960,221554
201542,144201,126689,131743,105661,270890,237404
